,Loss,S1,S2,S2_Call,S1_Call,S2_Put,S1_Put,Date,Symbol
213,-2512.5,152.5,165.0,0.005,-12.175,-0.45999999999999996,0.005,2023-04-28,AAPL
70,-2510.4999999999995,150.0,162.5,2.095,-14.7,-0.005,0.005,2023-04-14,AAPL
136,-2510.4999999999995,150.0,162.5,2.095,-14.7,-0.005,0.005,2023-04-21,AAPL
4,-2510.4999999999995,150.0,162.5,2.095,-14.7,-0.005,0.005,2023-04-06,AAPL
202,-2510.4999999999995,150.0,162.5,2.095,-14.7,-0.005,0.005,2023-04-28,AAPL
247,-2501.0,162.5,175.0,0.005,-2.095,-10.425,0.005,2023-04-28,AAPL
181,-2501.0,162.5,175.0,0.005,-2.095,-10.425,0.005,2023-04-21,AAPL
49,-2501.0,162.5,175.0,0.005,-2.095,-10.425,0.005,2023-04-06,AAPL
115,-2501.0,162.5,175.0,0.005,-2.095,-10.425,0.005,2023-04-14,AAPL
121,-2464.0,165.0,177.5,0.005,-0.005,-12.6,0.45999999999999996,2023-04-14,AAPL
187,-2464.0,165.0,177.5,0.005,-0.005,-12.6,0.45999999999999996,2023-04-21,AAPL
55,-2464.0,165.0,177.5,0.005,-0.005,-12.6,0.45999999999999996,2023-04-06,AAPL
253,-2464.0,165.0,177.5,0.005,-0.005,-12.6,0.45999999999999996,2023-04-28,AAPL
174,-2441.5,160.0,172.5,0.005,-4.425000000000001,-7.5,0.005,2023-04-21,AAPL
108,-2441.5,160.0,172.5,0.005,-4.425000000000001,-7.5,0.005,2023-04-14,AAPL
240,-2441.5,160.0,172.5,0.005,-4.425000000000001,-7.5,0.005,2023-04-28,AAPL
42,-2441.5,160.0,172.5,0.005,-4.425000000000001,-7.5,0.005,2023-04-06,AAPL
340,-2233.9999999999995,103.0,114.0,0.005,-5.8,-5.55,0.005,2023-04-14,GOOGL
274,-2233.9999999999995,103.0,114.0,0.005,-5.8,-5.55,0.005,2023-04-06,GOOGL
406,-2233.9999999999995,103.0,114.0,0.005,-5.8,-5.55,0.005,2023-04-21,GOOGL
472,-2233.9999999999995,103.0,114.0,0.005,-5.8,-5.55,0.005,2023-04-28,GOOGL
802,-2201.5,87.0,98.0,0.005,-5.475,-5.550000000000001,0.005,2023-04-06,AMD
868,-2201.5,87.0,98.0,0.005,-5.475,-5.550000000000001,0.005,2023-04-14,AMD
1000,-2201.5,87.0,98.0,0.005,-5.475,-5.550000000000001,0.005,2023-04-28,AMD
934,-2201.5,87.0,98.0,0.005,-5.475,-5.550000000000001,0.005,2023-04-21,AMD
736,-2199.0,97.0,108.0,0.005,-5.025,-5.975,0.005,2023-04-28,AMZN
670,-2199.0,97.0,108.0,0.005,-5.025,-5.975,0.005,2023-04-21,AMZN
538,-2199.0,97.0,108.0,0.005,-5.025,-5.975,0.005,2023-04-06,AMZN
604,-2199.0,97.0,108.0,0.005,-5.025,-5.975,0.005,2023-04-14,AMZN
165,-2093.5,157.5,167.5,0.005,-7.475,-3.4699999999999998,0.005,2023-04-21,AAPL
231,-2093.5,157.5,167.5,0.005,-7.475,-3.4699999999999998,0.005,2023-04-28,AAPL
99,-2093.5,157.5,167.5,0.005,-7.475,-3.4699999999999998,0.005,2023-04-14,AAPL
33,-2093.5,157.5,167.5,0.005,-7.475,-3.4699999999999998,0.005,2023-04-06,AAPL
222,-2047.4999999999995,155.0,165.0,0.005,-10.024999999999999,-0.45999999999999996,0.005,2023-04-28,AAPL
24,-2047.4999999999995,155.0,165.0,0.005,-10.024999999999999,-0.45999999999999996,0.005,2023-04-06,AAPL
90,-2047.4999999999995,155.0,165.0,0.005,-10.024999999999999,-0.45999999999999996,0.005,2023-04-14,AAPL
156,-2047.4999999999995,155.0,165.0,0.005,-10.024999999999999,-0.45999999999999996,0.005,2023-04-21,AAPL
201,-2027.4999999999998,150.0,160.0,4.425000000000001,-14.7,-0.005,0.005,2023-04-28,AAPL
3,-2027.4999999999998,150.0,160.0,4.425000000000001,-14.7,-0.005,0.005,2023-04-06,AAPL
69,-2027.4999999999998,150.0,160.0,4.425000000000001,-14.7,-0.005,0.005,2023-04-14,AAPL
